success,cache_line_sz,cache_queue_size,cache_size,cache_hit_latency,cache_bandwidth,cycle,power,area
TRUE,16,32,65536,1,12,70830,76.8922,2046830
TRUE,32,32,65536,4,8,73936,69.7482,1791540
TRUE,64,128,16384,4,13,74460,55.9282,1042170
TRUE,32,64,32768,2,9,68947,65.7815,1338170
TRUE,64,128,65536,3,5,68716,72.9158,1671260
TRUE,64,64,16384,3,10,69950,58.8226,1042170
TRUE,32,128,131072,1,15,66183,137.211,3145000
TRUE,32,64,16384,2,4,71448,58.1337,1072450
TRUE,32,32,131072,2,7,68541,131.745,3145760
TRUE,64,64,65536,2,10,66805,75.3396,1671260
TRUE,16,128,16384,1,5,74867,59.0565,1116910
TRUE,64,32,16384,1,14,65225,62.0977,1032280
TRUE,16,64,16384,4,9,82216,54.5406,1104520
TRUE,16,128,131072,2,14,74116,134.682,3154290
TRUE,16,32,16384,3,6,80767,55.5262,1126790
TRUE,64,128,131072,2,16,66790,132.479,2871060
TRUE,32,128,16384,4,7,75516,55.6725,1073220
TRUE,16,32,65536,3,13,76554,71.9584,2056710
TRUE,64,32,32768,3,6,69257,63.3312,1294760
TRUE,32,32,131072,2,11,68976,131.162,3145760
TRUE,32,32,16384,1,9,66600,62.1595,1116990
TRUE,16,64,32768,1,15,70120,67.2498,1458260
TRUE,64,64,65536,2,11,66967,74.4086,1671260
TRUE,32,32,65536,3,10,70728,72.6577,1836080
TRUE,16,128,65536,3,6,76606,71.9166,2056710
TRUE,16,64,16384,3,15,82175,55.0508,1149060
TRUE,32,32,131072,4,10,73846,124.145,3100070
TRUE,16,64,16384,4,13,82872,54.1953,1104520
TRUE,32,128,32768,3,14,70660,63.6677,1293630
TRUE,32,128,32768,1,13,66179,68.074,1338170
TRUE,32,32,32768,4,13,73811,61.7368,1294390
TRUE,64,128,65536,2,13,66766,75.3701,1671260
TRUE,32,128,32768,2,4,69559,65.6876,1338930
TRUE,16,64,131072,4,11,77220,127.975,3131260
TRUE,16,64,131072,2,15,73853,135.178,3154290
TRUE,16,128,131072,1,14,70334,141.05,3144410
TRUE,16,128,32768,3,7,76400,62.6288,1468150
TRUE,32,128,32768,3,15,70377,64.0423,1294390
TRUE,64,64,131072,3,13,69577,125.176,2871060
TRUE,16,64,16384,2,12,77975,57.1937,1126790
TRUE,16,64,32768,1,10,69751,67.5691,1458260
TRUE,64,128,65536,1,14,64062,77.7486,1661370
TRUE,64,128,16384,1,13,65503,62.2395,1032280
TRUE,16,128,131072,3,16,77191,128.786,3154290
TRUE,16,64,32768,4,4,77010,61.884,1445110
TRUE,16,32,65536,2,4,74034,73.6393,2012170
TRUE,16,64,65536,2,4,73766,74.3771,2056710
TRUE,16,128,65536,2,13,73919,74.2595,2056710
TRUE,32,32,16384,1,7,67387,61.0406,1072450
TRUE,16,128,131072,1,10,71261,139.581,3144410
TRUE,32,128,16384,4,4,75890,56.0069,1117760
TRUE,64,128,131072,2,12,66973,132.69,2915600
TRUE,16,64,131072,2,16,73792,135.106,3154290
TRUE,32,64,16384,1,8,67166,61.2045,1072450
TRUE,32,128,131072,1,12,66032,135.352,3091340
TRUE,16,64,32768,3,7,76588,62.5013,1468150
TRUE,32,128,32768,3,10,71445,63.1039,1293630
TRUE,16,128,65536,4,14,77385,70.9584,2033670
TRUE,32,32,65536,1,10,66371,76.3769,1781660
TRUE,64,32,32768,3,4,68700,63.3353,1294760
TRUE,64,64,65536,4,10,72410,69.374,1671260
TRUE,16,128,131072,1,11,70363,140.506,3099870
TRUE,16,64,16384,4,12,83530,53.8541,1104520
TRUE,16,64,16384,1,7,76267,58.2071,1116910
TRUE,16,128,131072,2,15,73859,134.566,3109760
TRUE,16,64,131072,4,15,76535,128.895,3131260
TRUE,16,32,131072,3,8,76604,129.802,3154290
TRUE,16,64,32768,1,4,71537,66.1882,1458260
TRUE,32,128,131072,3,9,70601,125.352,3101220
TRUE,16,128,131072,4,14,76932,128.257,3131260
TRUE,32,128,32768,3,4,71214,63.8584,1338170
TRUE,64,32,131072,1,15,64663,135.881,2861180
TRUE,64,128,32768,3,9,68772,63.6896,1294760
TRUE,32,128,65536,4,14,74183,69.8127,1790390
TRUE,64,128,16384,3,12,69995,58.7888,1042170
TRUE,32,128,32768,3,16,71471,63.8148,1338930
TRUE,16,32,32768,4,9,76329,62.3051,1445110
TRUE,64,128,16384,3,5,69622,59.0613,1042170
TRUE,32,32,65536,3,8,70506,72.7942,1836080
TRUE,32,128,16384,2,10,69873,59.5575,1073220
TRUE,32,64,32768,1,9,66688,67.7781,1329050
TRUE,64,128,131072,2,14,67141,131.846,2871060
TRUE,16,64,131072,1,8,70821,140.297,3144410
TRUE,32,64,16384,3,12,73100,56.9251,1072450
TRUE,32,64,32768,1,15,65822,68.504,1329050
TRUE,64,32,16384,2,7,68666,60.261,1086710
TRUE,64,32,131072,1,13,63800,135.119,2905720
TRUE,32,128,131072,4,8,74287,123.517,3100070
TRUE,64,32,32768,4,10,71819,61.1501,1294760
TRUE,32,32,32768,1,5,65733,68.0348,1284510
TRUE,32,64,65536,4,16,73956,70.3139,1836080
TRUE,32,64,65536,2,13,68782,74.9546,1836080
TRUE,16,128,16384,3,11,80827,55.5396,1126790
TRUE,32,128,32768,2,10,68828,66.2705,1338930
TRUE,16,32,16384,1,16,76851,57.822,1116910
TRUE,16,128,131072,3,15,76419,130.15,3154290
TRUE,16,32,65536,2,5,73751,74.3456,2056710
TRUE,32,64,32768,3,14,71015,63.4257,1293630
TRUE,32,128,131072,1,4,66229,135.679,3135880
TRUE,64,128,16384,1,6,65773,61.9962,1032280
TRUE,64,128,65536,4,5,71365,70.1857,1671260
TRUE,16,32,16384,4,10,82810,53.6772,1059980
TRUE,32,32,131072,3,4,70988,126.953,3100460
TRUE,16,64,65536,1,14,70876,76.2847,2002290
TRUE,32,32,65536,3,16,70812,72.2164,1790780
TRUE,64,64,32768,4,11,71920,61.4757,1294760
TRUE,16,64,32768,2,16,73856,64.4481,1468150
TRUE,32,32,16384,3,10,72260,58.0191,1116990
TRUE,32,32,16384,2,9,69844,60.1475,1117760
TRUE,32,64,65536,3,8,71248,71.867,1790780
TRUE,16,32,65536,2,16,74578,73.164,2012170
TRUE,16,128,65536,2,8,74008,74.1946,2056710
TRUE,16,32,16384,1,14,75874,58.4667,1116910
TRUE,64,32,32768,3,9,68653,63.3691,1294760
TRUE,32,32,131072,2,15,69011,132.317,3145000
TRUE,32,32,131072,4,6,74145,122.258,3145760
TRUE,16,128,16384,4,11,82200,54.0186,1059980
TRUE,64,32,16384,4,11,73415,56.5524,1042170
TRUE,32,32,16384,2,10,70001,60.0322,1117760
TRUE,32,64,131072,4,15,74006,121.886,3101220
TRUE,32,64,16384,3,4,72565,57.2854,1072450
TRUE,64,64,65536,2,14,66915,75.2511,1671260
TRUE,64,32,65536,4,16,71962,70.46,1671260
TRUE,32,32,131072,2,4,68682,131.627,3145760
TRUE,32,64,32768,4,6,73794,61.7225,1294390
TRUE,32,128,65536,2,9,69006,74.7978,1836080
TRUE,32,64,65536,3,15,70659,72.3755,1790780
TRUE,16,128,32768,1,9,70352,66.5036,1413720
TRUE,64,128,65536,2,14,66261,75.6006,1715800
TRUE,64,64,65536,3,12,68599,72.2124,1671260
TRUE,16,128,16384,3,8,82626,54.5478,1126790
TRUE,64,128,131072,1,12,64417,136.401,2861180
TRUE,64,64,32768,1,4,64056,67.7663,1284880
TRUE,16,32,131072,2,16,73710,134.648,3109760
TRUE,64,128,32768,1,12,64000,67.8151,1284880
TRUE,16,64,131072,3,9,76745,129.617,3154290
TRUE,32,64,16384,2,15,70901,58.5145,1072450
TRUE,32,64,65536,4,5,74665,69.2268,1791540
TRUE,32,128,16384,3,5,72872,57.0826,1072450
TRUE,16,128,32768,3,10,75625,63.1257,1468150
TRUE,32,128,131072,1,7,66039,135.766,3135880
TRUE,32,32,32768,1,12,65870,68.3122,1338170
TRUE,16,32,32768,4,10,77927,60.7477,1400570
TRUE,64,128,65536,1,8,64412,77.4171,1661370
TRUE,16,32,131072,4,11,76575,128.95,3131260
TRUE,32,32,16384,4,5,76148,55.1517,1072450
TRUE,16,64,32768,1,16,70100,67.2724,1458260
TRUE,64,64,16384,3,14,69608,58.7752,1042170
TRUE,64,128,16384,2,9,68505,60.7283,1086710
TRUE,32,64,32768,2,12,68644,66.398,1338930
TRUE,16,64,65536,1,12,70781,76.927,2046830
TRUE,16,32,32768,1,7,70223,67.1597,1458260
TRUE,16,32,32768,1,8,70369,67.0912,1458260
TRUE,16,64,131072,2,10,74494,133.615,3109760
TRUE,16,64,131072,4,9,76496,128.415,3087100
TRUE,16,64,65536,3,8,76239,72.207,2056710
TRUE,32,32,16384,4,7,77664,54.2851,1072450
TRUE,32,32,65536,1,16,66216,76.7473,1790780
TRUE,64,128,65536,3,16,69079,72.5984,1671260
TRUE,64,32,65536,3,11,69302,72.4091,1671260
TRUE,16,128,65536,3,4,76045,71.8873,2012170
TRUE,64,32,16384,3,11,70799,57.9419,1042170
TRUE,32,128,65536,3,4,70645,72.3753,1790780
TRUE,64,128,32768,4,6,71834,61.5407,1294760
TRUE,16,128,65536,2,15,73321,74.7367,2056710
TRUE,64,128,65536,1,16,63905,77.919,1661370
TRUE,16,32,65536,3,12,76224,72.2303,2056710
TRUE,16,128,131072,1,5,70331,141.099,3144410
TRUE,32,128,131072,1,5,66470,136.239,3100460
TRUE,64,32,16384,1,11,64900,62.666,1032280
TRUE,16,32,65536,4,8,76985,71.2078,2033670
TRUE,32,128,65536,2,10,69035,74.1941,1791540
TRUE,64,128,131072,4,7,71850,120.51,2871060
TRUE,16,64,16384,4,4,82764,54.2502,1104520
TRUE,64,32,16384,1,16,65241,62.4075,1032280
TRUE,32,32,131072,2,5,68616,132.414,3100460
TRUE,16,32,65536,1,6,70591,77.0523,2046830
TRUE,64,128,32768,1,9,64461,67.4257,1284880
TRUE,16,128,65536,2,9,73955,74.2265,2056710
TRUE,32,128,131072,3,4,70830,125.541,3145760
TRUE,16,32,131072,4,10,78603,125.648,3087100
TRUE,64,32,32768,2,15,67414,65.1777,1294760
TRUE,64,128,131072,2,10,66785,129.553,2871060
TRUE,32,128,65536,3,5,71048,72.0265,1790780
TRUE,16,128,131072,4,7,76345,129.154,3131640
TRUE,32,128,131072,4,6,73807,122.096,3101220
TRUE,32,64,65536,2,9,68805,74.9736,1836080
TRUE,64,64,131072,3,14,68208,127.33,2871060
TRUE,16,128,32768,2,6,73890,64.4578,1468150
TRUE,32,128,131072,1,13,66005,137.615,3145000
TRUE,16,32,32768,4,16,77204,61.7642,1445110
TRUE,16,128,16384,2,16,78299,56.4334,1082250
TRUE,16,128,32768,2,4,74122,64.3211,1468150
TRUE,64,32,16384,3,13,70228,58.6492,1042170
TRUE,32,64,131072,1,9,65889,137.209,3100460
TRUE,16,128,32768,3,12,76383,62.6085,1468150
TRUE,32,128,16384,3,7,71763,57.8023,1072450
